mes_num,mes_nombre,monto_millones_usd
1,Enero,573.8963831270834
2,Febrero,587.0443596391666
3,Marzo,686.1263531312501
4,Abril,683.65564384625
5,Mayo,743.9883172445834
6,Junio,737.3332228770834
7,Julio,730.1394791929166
8,Agosto,763.3933233270833
9,Septiembre,708.9805005641666
10,Octubre,765.6590758629167
11,Noviembre,678.2460788391667
12,Diciembre,761.7660564370834
